Rk,Player,G,Season,Age,Team,PLAY_G,PLAY_GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PLAY_PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
215,Bojan Bogdanović,11,2020-21,31,UTA,11,11,35.5,5.8,12.5,2.6,5.5,3.2,6.9,3.3,3.7,0.5,3.7,4.3,1.5,0.9,0.0,2.1,2.5,18.1,.467,.475,.461,.878,.642,.595,G-F,bogdabo02
216,Bojan Bogdanović,6,2021-22,32,UTA,6,6,35.7,6.5,13.5,4.7,8.0,1.8,5.5,3.2,4.0,0.5,3.7,4.2,1.7,0.3,0.0,2.0,4.0,18.0,.481,.583,.333,.792,.590,.549,G-F,bogdabo02
217,Andrew Bogut,12,2012-13,28,GSW,12,12,27.3,3.3,5.6,3.3,5.6,0.0,0.0,0.7,1.9,3.3,7.7,10.9,1.8,0.5,1.5,1.8,3.3,7.2,.582,.582,,.348,.558,.582,C,bogutan01
218,Andrew Bogut,19,2014-15,30,GSW,19,18,23.2,2.2,3.9,2.2,3.9,0.0,0.1,0.3,0.7,2.2,5.9,8.1,1.9,0.6,1.8,1.4,3.6,4.7,.560,.568,.000,.385,.551,.560,C,bogutan01
219,Andrew Bogut,22,2015-16,31,GSW,22,22,16.6,2.2,3.5,2.2,3.4,0.0,0.1,0.2,0.6,2.1,3.5,5.7,1.4,0.6,1.6,0.9,3.3,4.6,.623,.640,.000,.357,.607,.623,C,bogutan01
220,Andrew Bogut,19,2018-19,34,GSW,19,6,9.4,1.3,1.9,1.3,1.9,0.0,0.0,0.2,0.3,1.2,2.7,3.9,1.1,0.3,0.3,0.5,2.0,2.7,.649,.649,,.800,.663,.649,C,bogutan01
221,Bol Bol,4,2019-20,20,DEN,4,0,5.3,1.3,2.3,0.8,1.5,0.5,0.8,1.8,2.0,0.8,0.5,1.3,0.0,0.5,0.5,0.5,0.3,4.8,.556,.500,.667,.875,.759,.667,F-C,bolbo01
222,Jonah Bolden,10,2018-19,23,PHI,10,0,7.9,0.5,1.9,0.1,0.3,0.4,1.6,0.2,0.4,0.4,1.0,1.4,0.3,0.2,0.1,0.9,1.2,1.6,.263,.333,.250,.500,.385,.368,F,boldejo01
223,Isaac Bonga,4,2020-21,21,WAS,4,0,2.5,0.0,1.3,0.0,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,.000,.000,.000,,.000,.000,G,bongais01
224,Matt Bonner,13,2011-12,31,SAS,13,0,12.7,0.8,2.5,0.2,0.7,0.6,1.8,0.2,0.4,0.2,1.8,1.9,0.7,0.2,0.3,0.2,1.8,2.4,.313,.222,.348,.600,.453,.438,F,bonnema01
225,Matt Bonner,20,2012-13,32,SAS,20,1,13.4,1.4,3.0,0.7,1.4,0.8,1.6,0.5,0.6,0.5,1.5,2.0,0.3,0.3,0.3,0.1,1.8,4.1,.475,.481,.469,.833,.630,.602,F,bonnema01
226,Matt Bonner,22,2013-14,33,SAS,22,2,6.2,0.5,1.0,0.3,0.4,0.2,0.5,0.1,0.2,0.1,0.5,0.6,0.5,0.1,0.0,0.1,0.5,1.2,.476,.667,.333,.750,.593,.571,F,bonnema01
227,Matt Bonner,7,2014-15,34,SAS,7,0,5.1,0.3,1.4,0.0,0.1,0.3,1.3,0.0,0.0,0.0,0.9,0.9,0.1,0.0,0.1,0.1,1.1,0.9,.200,.000,.222,,.300,.300,F,bonnema01
228,Devin Booker,22,2020-21,24,PHO,22,22,40.4,9.6,21.5,7.6,15.3,2.0,6.2,6.0,6.7,0.7,5.0,5.6,4.5,0.8,0.2,3.7,3.5,27.3,.447,.499,.321,.905,.558,.494,G,bookede01
229,Devin Booker,10,2021-22,25,PHO,10,10,36.6,7.9,17.5,5.1,11.0,2.8,6.5,4.7,5.3,1.0,3.8,4.8,4.4,0.5,0.4,3.2,2.5,23.3,.451,.464,.431,.887,.587,.531,G,bookede01
230,Trevor Booker,9,2013-14,26,WAS,9,1,16.2,1.4,3.2,1.4,3.0,0.0,0.2,0.4,0.7,1.8,2.6,4.3,0.9,0.2,1.0,0.3,2.8,3.3,.448,.481,.000,.667,.474,.448,F,booketr01
231,Trevor Booker,7,2017-18,30,IND,7,0,9.1,0.9,1.4,0.9,1.3,0.0,0.1,0.9,1.0,0.7,1.9,2.6,0.0,0.1,0.1,0.1,1.7,2.6,.600,.667,.000,.857,.688,.600,F,booketr01
232,Carlos Boozer,6,2011-12,30,CHI,6,6,33.3,6.3,15.0,6.3,15.0,0.0,0.0,0.8,1.2,1.7,8.2,9.8,3.0,0.8,0.3,3.8,3.3,13.5,.422,.422,,.714,.435,.422,F-C,boozeca01
233,Carlos Boozer,12,2012-13,31,CHI,12,12,35.9,6.9,14.0,6.9,13.9,0.0,0.1,2.6,3.8,2.9,6.7,9.6,1.5,0.8,0.1,2.4,3.0,16.4,.494,.497,.000,.689,.524,.494,F-C,boozeca01
234,Carlos Boozer,5,2013-14,32,CHI,5,5,24.2,4.0,9.4,4.0,9.4,0.0,0.0,1.6,1.8,1.6,6.2,7.8,1.0,0.2,0.0,1.4,2.6,9.6,.426,.426,,.889,.471,.426,F-C,boozeca01
235,Chris Bosh,14,2011-12,27,MIA,14,10,31.4,5.2,10.6,4.7,9.6,0.5,0.9,3.1,3.7,2.6,5.2,7.8,0.6,0.4,1.0,1.4,1.4,14.0,.493,.489,.538,.827,.574,.517,F-C,boshch01
236,Chris Bosh,23,2012-13,28,MIA,23,23,32.7,4.8,10.4,4.1,8.8,0.7,1.6,1.9,2.6,1.7,5.6,7.3,1.5,1.0,1.6,1.2,2.9,12.1,.458,.468,.405,.733,.524,.490,F-C,boshch01
237,Chris Bosh,20,2013-14,29,MIA,20,20,34.3,5.8,11.5,4.3,7.8,1.5,3.7,1.8,2.4,1.2,4.4,5.6,1.1,0.9,1.0,0.7,2.6,14.9,.507,.555,.405,.750,.596,.572,F-C,boshch01
238,Chris Boucher,7,2019-20,27,TOR,7,0,6.1,0.4,1.6,0.1,0.9,0.3,0.7,0.0,0.1,0.4,1.3,1.7,0.1,0.0,0.3,0.1,0.7,1.1,.273,.167,.400,.000,.350,.364,F,bouchch01
239,Chris Boucher,6,2021-22,29,TOR,6,0,21.7,4.3,7.0,3.3,4.5,1.0,2.5,1.5,1.7,2.0,3.8,5.8,0.2,0.2,1.2,0.3,2.2,11.2,.619,.741,.400,.900,.722,.690,F,bouchch01
240,Avery Bradley,10,2011-12,21,BOS,10,10,24.8,2.5,6.8,2.0,4.6,0.5,2.2,1.2,1.8,0.3,1.7,2.0,0.8,0.8,0.6,1.0,2.0,6.7,.368,.435,.227,.667,.441,.404,G,bradlav01
241,Avery Bradley,6,2012-13,22,BOS,6,6,31.8,2.8,7.0,2.5,5.7,0.3,1.3,0.7,0.7,0.5,1.7,2.2,1.3,1.8,0.2,1.8,1.8,6.7,.405,.441,.250,1.000,.457,.429,G,bradlav01
