Player,Age,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
Orlando Robinson,22,31,13.7,1.5,2.9,1.5,2.7,0.0,0.2,0.7,1.0,1.5,2.5,4.1,0.8,0.4,0.4,0.5,1.7,3.7,0.528,0.566,0.0,0.71,0.565,0.528,F
Nate Robinson,28-31,170,21.0,3.8,9.2,2.5,5.6,1.4,3.6,1.4,1.8,0.4,1.5,1.9,3.4,0.8,0.1,1.4,2.2,10.4,0.417,0.446,0.374,0.79,0.523,0.491,G
Mitchell Robinson,20-24,289,24.4,3.5,5.0,3.5,5.0,0.0,0.0,1.2,2.2,3.6,4.3,7.9,0.6,0.9,2.0,0.7,2.9,8.2,0.712,0.712,0.0,0.529,0.694,0.712,C
Jerome Robinson,21-23,113,14.2,1.7,4.6,1.0,2.3,0.7,2.2,0.5,0.8,0.2,1.7,1.8,1.2,0.5,0.2,0.7,1.7,4.5,0.363,0.414,0.31,0.721,0.465,0.439,G
Glenn Robinson III,21-27,304,17.4,2.3,5.0,1.6,3.3,0.6,1.7,0.8,1.0,0.7,1.9,2.6,0.8,0.5,0.2,0.5,0.9,5.9,0.457,0.501,0.373,0.779,0.55,0.521,G-F
Duncan Robinson,24-28,281,26.1,3.7,8.6,0.7,1.2,2.9,7.4,0.8,0.9,0.2,2.6,2.8,1.5,0.5,0.2,0.9,2.4,11.1,0.429,0.609,0.399,0.866,0.616,0.599,G-F
Brian Roberts,27-31,314,16.6,2.4,5.8,1.7,3.9,0.7,1.9,1.1,1.2,0.2,1.2,1.3,2.3,0.4,0.1,0.9,1.2,6.6,0.411,0.439,0.356,0.908,0.516,0.471,G
Andre Roberson,22-29,307,22.2,1.9,3.9,1.5,2.5,0.4,1.4,0.4,0.9,1.2,2.8,4.0,0.9,0.9,0.6,0.6,2.1,4.5,0.473,0.6,0.253,0.468,0.52,0.519,G-F
Austin Rivers,20-30,707,23.8,3.1,7.5,2.0,4.3,1.1,3.2,1.1,1.7,0.3,1.7,2.0,2.1,0.7,0.2,1.0,2.1,8.5,0.419,0.47,0.349,0.653,0.516,0.493,G
Luke Ridnour,31-33,190,22.6,3.0,6.9,2.3,4.9,0.6,2.0,0.9,1.1,0.4,1.6,2.0,3.1,0.7,0.1,1.2,1.8,7.5,0.432,0.478,0.321,0.825,0.509,0.479,G
