Rk,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,From,To,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
65,Alondes Williams,0.0,22.0,0.0,0.0,0.0,100.0,17.7,2022-23,2022-23,23,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,0.0,0.0,0.0,14.4,7.2,0.0,,,,,,,G,BRK,willial06
66,Alan Williams,14.0,32.6,7.1,2.0,3.5,11.7,20.9,2015-16,2018-19,23-26,67,0,6.7,13.3,6.7,13.2,0.0,0.1,3.6,5.7,4.7,10.6,15.3,1.6,1.5,1.6,2.1,6.4,17.1,.506,.509,.000,.626,.539,.506,F-C,BRKPHO,willial03
67,Damien Wilkins,3.3,7.8,12.3,1.6,1.2,11.8,16.9,2012-13,2017-18,33-38,80,22,4.6,10.2,4.0,8.3,0.6,2.0,2.4,3.3,1.1,2.4,3.5,2.9,1.1,0.5,1.6,3.0,12.2,.445,.479,.304,.743,.520,.475,F-G,INDPHI,wilkida02
68,Jacob Wiley,6.4,29.2,8.0,1.5,0.0,0.0,6.4,2017-18,2017-18,23,5,0,1.1,4.4,0.0,2.2,1.1,2.2,1.1,2.2,2.2,9.8,12.0,2.2,1.1,0.0,0.0,4.4,4.4,.250,.000,.500,.500,.410,.375,F,BRK,wileyja01
69,Chris Wilcox,8.1,17.3,4.2,2.0,2.7,16.0,12.1,2012-13,2012-13,30,61,7,4.8,6.6,4.8,6.6,0.0,0.0,1.7,2.5,2.4,5.4,7.8,1.0,1.4,1.2,1.5,5.4,11.2,.719,.724,.000,.672,.725,.719,F,BOS,wilcoch01
70,C.J. Wilcox,1.7,7.3,11.8,2.0,0.9,11.2,19.1,2014-15,2016-17,24-26,66,0,4.8,12.9,3.0,7.5,1.8,5.5,1.2,1.5,0.6,2.4,3.0,2.9,1.4,0.4,1.7,2.9,12.6,.370,.397,.333,.813,.465,.441,G,LACORL,wilcocj01
71,Lindell Wigginton,1.1,10.4,18.1,0.8,0.9,17.0,21.0,2021-22,2022-23,23-24,26,1,5.5,12.3,3.7,6.8,1.9,5.5,3.4,5.5,0.4,3.7,4.0,4.7,0.6,0.4,3.0,3.0,16.4,.449,.537,.341,.614,.554,.526,G,MIL,wiggili01
72,Andrew Wiggins,4.0,10.3,10.8,1.4,1.7,9.8,24.9,2014-15,2022-23,19-27,635,635,7.4,16.4,5.9,12.2,1.5,4.3,3.5,4.9,1.3,3.3,4.6,2.4,1.0,0.7,2.0,2.3,19.8,.449,.483,.354,.720,.532,.495,F-G,GSWMIN,wiggian01
73,Aaron Wiggins,4.9,11.5,8.4,1.3,0.9,12.4,14.9,2021-22,2022-23,23-24,120,49,4.9,10.1,3.6,6.3,1.3,3.7,1.7,2.2,1.7,3.9,5.6,2.1,1.0,0.4,1.6,2.9,12.9,.489,.573,.346,.776,.582,.553,G,OKC,wiggiaa01
74,Joe Wieskamp,1.6,6.1,5.9,0.8,1.0,3.8,13.1,2021-22,2022-23,22-23,38,0,3.2,9.9,0.8,2.1,2.4,7.8,1.0,1.8,0.6,2.0,2.5,1.7,0.6,0.4,0.4,2.4,9.9,.329,.400,.309,.538,.462,.450,G,SASTOR,wieskjo01
75,Shayne Whittington,11.2,19.1,10.0,2.1,1.6,13.5,22.3,2014-15,2015-16,23-24,27,0,5.8,12.8,5.6,10.9,0.2,1.9,4.6,6.0,3.6,6.3,9.9,2.2,1.4,0.7,2.4,6.0,16.4,.453,.511,.125,.760,.531,.462,F-C,IND,whittsh01
