Rk,Player,WS,ORtg,DRtg,VORP,PER,TRB%,USG%,TOV%,AST%,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
228,Manu Ginóbili,106.4,112,100,47.6,20.2,8.0,24.5,14.9,24.5,2002-03,2017-18,25-40,1057,349,2,25.4,4.3,9.7,2.9,5.9,1.4,3.8,3.2,3.9,0.6,2.8,3.5,3.8,1.3,0.3,2.0,2.1,13.3,.447,.498,.369,.827,.582,.520,G,SAS,ginobma01
229,Artis Gilmore,107.4,117,104,34.7,20.2,17.0,19.7,17.9,8.9,1976-77,1987-88,27-38,909,476,6,32.7,6.3,10.5,6.3,10.5,0.0,0.0,4.5,6.3,2.9,7.2,10.1,2.0,0.5,1.9,2.6,3.3,17.1,.599,.600,.077,.713,.643,.599,C,BOSCHISAS,gilmoar01
230,Shai Gilgeous-Alexander,28.2,115,112,12.8,20.0,7.4,26.5,11.6,23.1,2018-19,2022-23,20-24,307,298,1,32.6,7.3,15.1,6.2,11.8,1.1,3.3,5.1,6.1,0.7,3.8,4.5,4.5,1.2,0.7,2.3,2.2,20.9,.483,.521,.348,.842,.587,.521,G,LACOKC,gilgesh01
231,George Gervin,88.1,112,108,29.8,21.7,7.3,30.7,11.4,13.0,1976-77,1985-86,24-33,791,377,9,33.5,10.2,19.9,10.1,19.6,0.1,0.3,5.7,6.8,1.5,3.1,4.6,2.8,1.2,0.8,2.7,2.9,26.2,.511,.514,.297,.844,.572,.513,G-F,CHISAS,gervige01
232,Paul George,81.2,109,104,40.3,19.4,10.5,27.2,13.1,18.5,2010-11,2022-23,20-32,793,745,8,33.6,7.0,16.1,4.5,9.4,2.5,6.6,4.0,4.8,0.9,5.5,6.4,3.7,1.7,0.4,2.7,2.7,20.6,.437,.477,.381,.850,.568,.516,F,INDLACOKC,georgpa01
233,Chris Gatling,32.1,105,104,3.2,17.6,15.3,24.1,14.1,5.8,1991-92,2001-02,24-34,700,86,1,19.7,4.0,7.8,3.9,7.5,0.1,0.3,2.2,3.4,1.8,3.6,5.3,0.7,0.7,0.5,1.5,2.7,10.3,.513,.523,.249,.660,.555,.517,F-C,CLEDALDENGSWMIAMILNJNORL,gatlich01
234,Pau Gasol,144.1,113,104,57.5,21.4,15.5,23.3,12.5,16.7,2001-02,2018-19,21-38,1226,1150,6,33.4,6.5,12.8,6.4,12.4,0.1,0.4,3.9,5.1,2.5,6.7,9.2,3.2,0.5,1.6,2.2,2.1,17.0,.507,.512,.368,.753,.565,.513,C-F,CHILALMEMMILSAS,gasolpa01
235,Marc Gasol,85.3,111,104,36.5,18.0,13.3,20.5,13.5,17.1,2008-09,2020-21,24-36,891,866,3,32.2,5.2,10.8,4.7,9.5,0.5,1.3,3.2,4.1,1.6,5.8,7.4,3.4,0.9,1.4,2.0,2.9,14.0,.481,.498,.360,.776,.557,.503,C,LALMEMTOR,gasolma01
236,Kevin Garnett,191.4,110,99,96.9,22.7,17.0,24.7,11.8,19.3,1995-96,2015-16,19-39,1462,1425,15,34.5,7.2,14.5,7.1,14.0,0.1,0.4,3.3,4.2,2.2,7.8,10.0,3.7,1.3,1.4,2.2,2.4,17.8,.497,.504,.275,.789,.546,.501,F-C,BOSBRKMIN,garneke01
237,Darius Garland,13.8,110,115,3.9,15.7,4.3,25.4,15.6,31.7,2019-20,2022-23,20-23,247,243,1,33.9,6.8,15.2,4.6,9.4,2.2,5.7,2.7,3.1,0.5,2.1,2.6,6.7,1.1,0.1,3.1,1.9,18.5,.449,.487,.387,.870,.561,.522,G,CLE,garlada01
