Rk,Player,WS,ORtg,DRtg,VORP,PER,TRB%,USG%,TOV%,AST%,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
81,Alvin Robertson,52.1,106,106,28.3,17.0,9.4,20.7,17.0,23.1,1984-85,1995-96,22-33,779,680,4,31.7,5.7,11.9,5.4,10.8,0.3,1.0,2.3,3.1,2.1,3.1,5.2,5.0,2.7,0.4,2.7,3.4,14.0,.477,.494,.295,.743,.527,.490,G,DETMILSASTOR,roberal01
82,Doc Rivers,68.2,112,105,30.5,16.6,6.2,18.6,15.8,29.2,1983-84,1995-96,22-34,864,605,1,27.3,3.8,8.6,3.4,7.3,0.4,1.3,2.8,3.6,0.7,2.3,3.0,5.7,1.8,0.4,1.9,3.1,10.9,.444,.465,.328,.784,.534,.469,G,ATLLACNYKSAS,riverdo01
83,Mitch Richmond,79.3,110,110,29.3,17.6,6.1,26.0,12.3,16.7,1988-89,2001-02,23-36,976,902,6,35.2,7.5,16.4,6.1,12.9,1.4,3.5,4.7,5.5,0.9,3.0,3.9,3.5,1.2,0.3,2.6,2.6,21.0,.455,.474,.388,.850,.557,.497,G,GSWLALSACWAS,richmmi01
84,Micheal Ray Richardson,35.2,101,103,21.2,16.9,9.2,21.8,18.3,28.7,1978-79,1985-86,23-30,556,276,4,33.4,6.1,13.5,5.9,12.4,0.2,1.0,2.3,3.4,1.8,3.7,5.5,7.0,2.6,0.4,3.3,3.3,14.8,.457,.477,.220,.690,.497,.465,G-F,GSWNJNNYK,richami01
85,Glen Rice,88.7,112,109,24.9,16.2,7.2,23.1,9.5,10.2,1989-90,2003-04,22-36,1000,876,3,35.0,6.8,14.9,5.2,11.0,1.6,3.9,3.2,3.8,0.9,3.4,4.4,2.1,1.0,0.3,1.7,2.4,18.3,.456,.476,.400,.846,.554,.508,F,CHHHOULACLALMIANYK,ricegl01
86,Michael Redd,55.9,113,111,21.4,19.5,7.0,26.5,8.2,12.1,2000-01,2011-12,21-32,629,429,1,32.0,6.7,15.0,5.0,10.6,1.7,4.4,4.0,4.8,1.0,2.8,3.8,2.1,0.9,0.1,1.5,1.6,19.0,.447,.475,.380,.838,.558,.503,G,MILPHO,reddmi01
87,Theo Ratliff,47.9,106,101,10.3,14.3,13.0,14.1,15.8,3.7,1995-96,2010-11,22-37,810,533,1,25.3,2.7,5.5,2.7,5.5,0.0,0.0,1.7,2.4,1.9,3.8,5.7,0.6,0.5,2.4,1.2,2.8,7.2,.496,.496,.000,.710,.546,.496,C-F,ATLBOSCHADETLALMINPHIPORSAS,ratlith01
88,Zach Randolph,81.1,106,106,18.8,19.3,17.3,26.6,11.4,10.9,2001-02,2017-18,20-36,1116,882,2,31.0,6.7,14.1,6.5,13.5,0.2,0.7,3.1,4.1,2.9,6.2,9.1,1.8,0.7,0.3,2.1,2.4,16.6,.471,.481,.273,.764,.522,.478,F-C,LACMEMNYKPORSAC,randoza01
89,Julius Randle,39.7,109,110,13.6,18.1,15.9,26.6,14.1,18.9,2014-15,2022-23,20-28,595,515,2,31.7,6.8,14.5,5.7,11.1,1.1,3.3,4.0,5.3,2.0,7.4,9.4,3.6,0.7,0.4,2.8,3.1,18.7,.470,.510,.336,.745,.556,.509,F-C,LALNOPNYK,randlju01
90,Mark Price,71.1,116,109,31.1,19.6,4.9,22.8,16.0,36.1,1986-87,1997-98,22-33,722,578,4,29.9,5.5,11.6,4.1,8.2,1.4,3.4,3.0,3.3,0.6,2.0,2.6,6.7,1.2,0.1,2.5,1.3,15.2,.472,.501,.402,.904,.586,.530,G,CLEGSWORLWSB,pricema01
91,Jim Price,19.7,97,99,4.7,13.7,6.1,17.1,19.9,20.2,1972-73,1978-79,23-29,510,,1,25.1,4.2,9.4,4.2,9.4,,,1.6,2.0,0.8,2.1,3.1,3.7,1.4,0.2,0.5,2.7,10.0,.444,.444,,.815,.485,.444,G,BUFDENDETLALMIL,priceji01
92,Kristaps Porziņģis,34.9,112,108,13.0,20.4,14.0,27.0,9.0,9.3,2015-16,2022-23,20-27,402,401,1,31.1,6.9,15.3,5.1,10.2,1.8,5.1,3.9,4.7,1.7,6.2,7.9,1.8,0.7,1.8,1.7,3.0,19.6,.453,.500,.359,.827,.563,.512,F-C,DALNYKWAS,porzikr01
93,Terry Porter,110.4,115,107,43.3,17.2,6.1,19.1,16.4,29.0,1985-86,2001-02,22-38,1274,732,2,27.8,4.3,9.2,3.2,6.6,1.0,2.6,2.7,3.2,0.6,2.5,3.0,5.6,1.2,0.1,2.1,1.7,12.2,.463,.493,.386,.836,.576,.518,G,MIAMINPORSAS,portete01
94,Scottie Pippen,125.1,108,102,63.2,18.6,10.6,22.5,15.6,23.1,1987-88,2003-04,22-38,1178,1053,7,34.9,6.3,13.3,5.5,10.8,0.8,2.5,2.7,3.8,1.8,4.6,6.4,5.2,2.0,0.8,2.8,2.8,16.1,.473,.507,.326,.704,.536,.504,F-G,CHIHOUPOR,pippesc01
95,Ricky Pierce,72.2,116,110,18.6,17.7,5.6,25.0,10.3,12.4,1982-83,1997-98,23-38,969,269,1,24.4,5.6,11.3,5.3,10.3,0.3,0.9,3.5,4.0,0.9,1.5,2.4,1.9,0.8,0.2,1.5,2.3,14.9,.493,.509,.322,.875,.573,.507,G,CHHDENDETGSWINDMILSDCSEA,piercri01
96,Paul Pierce,150.0,109,103,65.5,19.7,9.6,26.8,13.2,18.7,1998-99,2016-17,21-39,1343,1285,10,34.2,6.5,14.5,4.9,10.2,1.6,4.3,5.2,6.4,0.8,4.8,5.6,3.5,1.3,0.6,2.6,2.7,19.7,.445,.478,.368,.806,.568,.500,F-G,BOSBRKLACWAS,piercpa01
97,Gary Payton,145.5,111,106,62.5,18.9,6.5,22.5,12.8,31.9,1990-91,2006-07,22-38,1335,1233,9,35.3,6.5,14.0,5.7,11.3,0.8,2.7,2.4,3.4,1.0,2.9,3.9,6.7,1.8,0.2,2.3,2.4,16.3,.466,.501,.317,.729,.528,.496,G,BOSLALMIAMILSEA,paytoga01
98,Jim Paxson,53.7,113,109,13.3,16.1,4.2,21.5,10.1,15.4,1979-80,1989-90,22-32,784,368,2,27.2,5.8,11.6,5.7,11.1,0.1,0.6,2.6,3.2,0.7,1.4,2.0,2.9,1.2,0.1,1.5,1.8,14.3,.498,.511,.225,.807,.547,.503,G-F,BOSPOR,paxsoji02
99,Chris Paul,204.6,123,106,96.0,24.4,7.5,23.5,13.4,45.0,2005-06,2022-23,20-37,1210,1210,12,34.4,6.3,13.4,5.0,9.8,1.3,3.7,3.9,4.5,0.6,3.9,4.5,9.5,2.1,0.2,2.4,2.4,17.9,.472,.510,.368,.870,.582,.522,G,HOULACNOHNOKOKCPHO,paulch01
100,Tony Parker,111.3,109,105,30.1,18.2,5.1,25.1,13.8,32.2,2001-02,2018-19,19-36,1254,1151,6,30.5,6.2,12.6,5.8,11.3,0.4,1.3,2.7,3.6,0.4,2.4,2.7,5.6,0.8,0.1,2.3,1.6,15.5,.491,.510,.324,.751,.546,.508,G,CHOSAS,parketo01
101,Robert Parish,147.0,111,102,40.7,19.2,17.9,21.5,13.9,6.9,1976-77,1996-97,23-43,1611,1134,9,28.4,6.0,11.1,6.0,11.1,0.0,0.0,2.5,3.5,2.9,6.3,9.1,1.4,0.8,1.5,2.0,2.8,14.5,.537,.537,.000,.721,.571,.537,C,BOSCHHCHIGSW,parisro01
102,Hakeem Olajuwon,162.8,108,98,74.2,23.6,17.2,27.1,13.1,12.1,1984-85,2001-02,22-39,1238,1186,12,35.7,8.7,17.0,8.7,16.9,0.0,0.1,4.4,6.2,3.3,7.8,11.1,2.5,1.7,3.1,3.0,3.5,21.8,.512,.514,.202,.712,.553,.513,C,HOUTOR,olajuha01
103,Victor Oladipo,25.5,103,107,10.8,16.0,7.7,25.1,13.7,19.6,2013-14,2022-23,21-30,502,397,2,32.3,6.2,14.2,4.6,9.5,1.6,4.6,2.9,3.7,0.6,3.9,4.5,3.9,1.6,0.5,2.5,2.4,16.8,.436,.480,.345,.790,.533,.492,G,HOUINDMIAOKCORL,oladivi01
104,Mehmet Okur,54.7,112,105,14.5,17.1,14.5,21.4,11.4,10.1,2002-03,2011-12,23-32,634,460,1,29.1,4.8,10.4,3.8,7.9,0.9,2.5,3.0,3.8,2.0,5.0,7.0,1.7,0.5,0.7,1.6,2.9,13.5,.458,.484,.375,.797,.558,.503,C-F,DETNJNUTA,okurme01
105,Charles Oakley,89.7,105,102,15.4,13.4,17.3,15.8,19.1,11.9,1985-86,2003-04,22-40,1282,1159,1,31.4,3.8,8.0,3.7,7.8,0.1,0.2,2.1,2.7,3.1,6.5,9.5,2.5,1.1,0.3,2.2,3.4,9.7,.471,.477,.253,.761,.526,.474,F-C,CHIHOUNYKTORWAS,oaklech01
106,Shaquille O'Neal,181.7,113,101,75.5,26.4,17.8,29.5,11.9,13.9,1992-93,2010-11,20-38,1207,1197,15,34.7,9.4,16.1,9.4,16.1,0.0,0.0,4.9,9.3,3.5,7.4,10.9,2.5,0.6,2.3,2.7,3.4,23.7,.582,.583,.045,.527,.586,.582,C,BOSCLELALMIAORLPHO,onealsh01
107,Jermaine O'Neal,66.0,102,100,15.6,17.9,15.3,24.8,12.7,9.5,1996-97,2013-14,18-35,1011,697,6,27.1,5.1,10.9,5.1,10.8,0.0,0.1,3.0,4.2,2.0,5.2,7.2,1.4,0.5,1.8,1.9,2.9,13.2,.467,.469,.147,.715,.517,.467,C-F,BOSGSWINDMIAPHOPORTOR,onealje01
108,Dirk Nowitzki,206.3,116,104,84.8,22.4,12.7,26.5,8.4,12.6,1998-99,2018-19,20-40,1522,1460,14,33.8,7.3,15.6,6.0,12.2,1.3,3.4,4.8,5.4,1.0,6.6,7.5,2.4,0.8,0.8,1.6,2.4,20.7,.471,.496,.380,.879,.577,.512,F,DAL,nowitdi01
109,Joakim Noah,61.9,112,100,20.9,17.6,18.2,16.0,17.2,16.1,2007-08,2019-20,22-34,672,512,2,27.7,3.3,6.8,3.3,6.8,0.0,0.0,2.1,2.9,3.2,5.8,9.0,2.8,0.8,1.3,1.7,2.8,8.8,.491,.493,.000,.700,.540,.491,C,CHILACMEMNYK,noahjo01
110,Norm Nixon,47.6,106,109,10.2,15.3,4.0,20.6,16.9,31.3,1977-78,1988-89,22-33,768,416,2,35.5,6.8,14.1,6.7,13.6,0.1,0.4,2.0,2.6,0.6,2.0,2.6,8.3,1.5,0.1,3.1,2.6,15.7,.483,.489,.294,.772,.517,.488,G,LACLALSDC,nixonno01
111,Jameer Nelson,48.3,107,109,11.6,14.4,6.1,20.7,16.4,30.1,2004-05,2017-18,22-35,878,639,1,27.9,4.3,9.9,3.0,6.3,1.3,3.6,1.4,1.7,0.5,2.5,3.0,5.1,0.9,0.1,2.1,2.5,11.3,.436,.474,.368,.810,.532,.502,G,BOSDALDENDETNOPORL,nelsoja01
112,Calvin Natt,57.2,114,107,15.4,17.9,11.8,21.3,12.4,9.8,1979-80,1989-90,23-33,599,371,1,31.4,6.7,12.7,6.7,12.5,0.0,0.1,3.8,4.9,2.3,4.5,6.8,2.2,0.9,0.3,2.1,2.3,17.2,.528,.531,.219,.768,.579,.529,F,DENINDNJNPORSAS,nattca01
113,Steve Nash,129.7,118,111,48.2,20.0,5.4,21.0,19.5,41.5,1996-97,2013-14,22-39,1217,1053,8,31.3,5.2,10.6,3.8,7.4,1.4,3.2,2.5,2.8,0.5,2.5,3.0,8.5,0.7,0.1,2.9,1.6,14.3,.490,.518,.428,.904,.605,.556,G,DALLALPHO,nashst01
114,Larry Nance,109.6,116,104,43.5,19.9,13.6,20.6,11.3,11.8,1981-82,1993-94,22-34,920,795,3,33.4,6.9,12.7,6.9,12.6,0.0,0.1,3.2,4.2,2.5,5.5,8.0,2.6,0.9,2.2,1.9,2.9,17.1,.546,.548,.145,.755,.586,.546,F-C,CLEPHO,nancela01
115,Dikembe Mutombo,117.0,111,99,33.9,17.2,19.1,15.0,17.5,5.3,1991-92,2008-09,25-42,1196,997,8,30.8,3.5,6.7,3.5,6.7,0.0,0.0,2.8,4.1,3.2,7.1,10.3,1.0,0.4,2.8,1.8,2.8,9.8,.518,.518,.000,.684,.573,.518,C,ATLDENHOUNJNNYKPHI,mutomdi01
116,Dejounte Murray,20.8,108,110,9.8,17.4,11.4,23.7,12.5,27.3,2016-17,2022-23,20-26,389,318,1,27.7,5.6,12.4,4.8,9.7,0.9,2.7,1.7,2.2,1.0,4.9,5.9,5.0,1.4,0.3,1.9,1.8,13.9,.456,.488,.337,.783,.521,.492,G,ATLSAS,murrade01
117,Calvin Murphy,84.1,109,107,15.8,18.0,3.5,25.2,9.9,21.6,1970-71,1982-83,22-34,1002,0,1,30.5,7.2,15.0,7.2,14.9,0.0,0.1,3.4,3.9,0.5,1.0,2.1,4.4,1.2,0.1,0.8,3.2,17.9,.482,.484,.139,.892,.536,.483,G,HOUSDR,murphca01
118,Chris Mullin,93.1,115,110,41.6,18.8,6.9,22.2,13.3,16.5,1985-86,2000-01,22-37,986,822,5,32.6,6.8,13.4,6.0,11.3,0.8,2.2,3.7,4.2,1.0,3.1,4.1,3.5,1.6,0.6,2.3,2.1,18.2,.509,.533,.384,.865,.594,.540,F-G,GSWIND,mullich01
119,Alonzo Mourning,89.7,108,100,27.4,21.2,15.9,25.6,15.2,6.7,1992-93,2007-08,22-37,838,686,7,31.0,6.1,11.6,6.1,11.5,0.0,0.1,4.8,7.0,2.6,5.9,8.5,1.1,0.5,2.8,2.6,3.4,17.1,.527,.530,.247,.692,.583,.529,C-F,CHHMIANJN,mournal01
120,Ja Morant,19.6,112,113,9.6,20.4,7.8,30.4,14.1,35.9,2019-20,2022-23,20-23,244,242,2,32.2,8.2,17.4,6.9,13.4,1.3,3.9,4.9,6.5,1.0,3.8,4.8,7.4,1.0,0.3,3.3,1.6,22.5,.472,.516,.322,.754,.557,.508,G,MEM,moranja01
121,Earl Monroe,77.4,107,103,9.8,17.2,4.4,23.6,11.3,17.5,1967-68,1979-80,23-35,926,,4,32.0,7.5,16.1,7.5,16.1,0.0,0.0,3.9,4.9,0.3,1.1,3.0,3.9,0.5,0.1,0.3,2.6,18.8,.464,.464,,.807,.517,.464,G,BALNYK,monroea01
122,Sidney Moncrief,90.3,119,105,33.1,18.7,8.6,20.6,13.3,17.0,1979-80,1990-91,22-33,767,513,5,30.2,5.4,10.7,5.2,10.2,0.1,0.5,4.7,5.6,1.9,2.8,4.7,3.6,1.2,0.3,2.0,2.1,15.6,.502,.513,.284,.831,.591,.509,G,ATLMIL,moncrsi01
123,Steve Mix,57.6,113,99,17.1,16.2,11.1,20.3,13.8,10.4,1969-70,1982-83,22-35,787,56,1,23.9,4.1,8.2,4.1,8.1,0.0,0.0,2.5,3.1,1.7,3.2,5.3,1.8,1.1,0.2,0.7,2.2,10.6,.498,.499,.286,.803,.558,.499,F,DETLALMILPHI,mixst01
124,Mike Mitchell,50.2,109,111,5.2,16.7,9.4,25.1,8.4,6.2,1978-79,1987-88,23-32,759,443,1,32.3,8.4,17.0,8.4,16.9,0.0,0.1,3.0,3.8,2.0,3.6,5.6,1.3,0.7,0.5,1.7,2.7,19.8,.493,.495,.216,.779,.529,.494,F,CLESAS,mitchmi01
125,Donovan Mitchell,37.3,110,109,17.8,19.5,6.8,31.5,11.3,22.7,2017-18,2022-23,21-26,410,402,4,34.0,8.7,19.6,5.8,11.6,2.9,8.0,4.1,4.8,0.8,3.4,4.2,4.5,1.3,0.3,2.8,2.5,24.5,.447,.503,.364,.840,.563,.521,G,CLEUTA,mitchdo01
126,Yao Ming,65.9,112,99,20.7,23.0,16.5,26.8,14.5,9.6,2002-03,2010-11,22-30,486,476,8,32.5,7.0,13.3,7.0,13.2,0.0,0.0,5.1,6.1,2.5,6.7,9.2,1.6,0.4,1.9,2.7,3.3,19.0,.524,.525,.200,.833,.596,.525,C,HOU,mingya01
127,Paul Millsap,95.4,111,104,29.9,18.7,14.5,21.7,12.3,12.6,2006-07,2021-22,21-36,1085,746,4,28.1,5.0,10.3,4.5,8.8,0.5,1.5,2.8,3.9,2.2,4.9,7.1,2.2,1.2,1.0,1.7,3.0,13.4,.489,.513,.341,.736,.559,.513,F,ATLBRKDENPHIUTA,millspa01
128,Reggie Miller,174.4,121,109,66.1,18.4,5.1,21.6,10.5,14.4,1987-88,2004-05,22-39,1389,1304,5,34.3,5.9,12.6,4.1,7.9,1.8,4.7,4.5,5.1,0.6,2.4,3.0,3.0,1.1,0.2,1.7,2.0,18.2,.471,.516,.395,.888,.614,.544,G-F,IND,millere01
129,Brad Miller,76.5,114,105,23.2,17.5,14.5,18.4,13.7,16.3,1998-99,2011-12,22-35,868,598,2,28.3,4.0,8.3,3.7,7.6,0.2,0.7,3.0,3.8,2.0,5.2,7.1,2.8,0.7,0.7,1.6,2.7,11.2,.480,.494,.330,.804,.564,.494,C-F,CHHCHIHOUINDMINSAC,millebr01
130,Khris Middleton,52.5,111,109,14.8,16.7,8.4,23.5,12.4,18.9,2012-13,2022-23,21-31,681,592,3,31.5,6.2,13.5,4.3,8.7,1.9,4.8,2.8,3.2,0.6,4.2,4.8,3.8,1.2,0.2,2.1,2.5,17.0,.458,.496,.388,.881,.572,.526,F-G,DETMIL,middlkh01
131,Kevin McHale,113.0,118,106,34.3,20.0,13.2,22.4,11.7,8.1,1980-81,1992-93,23-35,971,400,7,31.0,7.0,12.7,7.0,12.5,0.0,0.2,3.7,4.7,2.4,4.9,7.3,1.7,0.4,1.7,1.9,2.8,17.9,.554,.558,.261,.798,.605,.555,F-C,BOS,mchalke01
132,Tracy McGrady,97.3,108,104,55.7,22.1,9.8,29.3,10.3,26.3,1997-98,2011-12,18-32,938,703,7,32.7,7.2,16.4,6.0,13.0,1.2,3.4,4.1,5.5,1.4,4.2,5.6,4.4,1.2,0.9,2.2,1.8,19.6,.435,.461,.338,.746,.519,.470,G-F,ATLDETHOUNYKORLTOR,mcgratr01
133,George McGinnis,36.2,97,97,13.1,18.6,16.4,25.7,18.7,18.1,1975-76,1981-82,25-31,528,158,3,30.7,6.4,14.3,6.4,14.3,0.0,0.0,4.4,6.7,3.0,6.8,9.8,3.8,1.7,0.4,2.4,3.8,17.2,.448,.449,.080,.651,.498,.448,F-C,DENINDPHI,mcginge01
134,Antonio McDyess,69.8,106,103,13.2,17.2,15.7,21.4,12.3,8.1,1995-96,2010-11,21-36,1015,645,1,27.6,5.0,10.0,5.0,10.0,0.0,0.1,2.1,3.1,2.4,5.1,7.5,1.3,0.8,1.1,1.6,3.0,12.0,.497,.499,.117,.670,.529,.497,F-C,DENDETNYKPHOSAS,mcdyean01
135,Xavier McDaniel,47.8,106,108,9.6,16.1,11.9,24.5,12.7,11.0,1985-86,1997-98,22-34,870,529,1,29.0,6.5,13.4,6.4,13.1,0.1,0.3,2.5,3.5,2.4,3.7,6.1,2.0,0.9,0.5,2.2,2.9,15.6,.485,.491,.261,.718,.522,.489,F,BOSNJNNYKPHOSEA,mcdanxa01
136,Bob McAdoo,89.1,104,100,27.2,20.7,14.7,25.8,14.3,10.5,1972-73,1985-86,21-34,852,1,5,33.2,8.7,17.3,8.7,17.3,0.0,0.0,4.6,6.1,2.1,6.5,9.4,2.3,0.9,1.3,1.4,3.2,22.1,.503,.504,.081,.754,.551,.503,C-F,BOSBUFDETLALNJNNYKPHI,mcadobo01
137,Anthony Mason,88.3,114,104,23.2,14.6,13.9,15.2,15.3,15.2,1989-90,2002-03,23-36,882,559,1,34.7,4.1,8.0,4.1,8.0,0.0,0.0,2.8,4.0,2.2,6.1,8.3,3.4,0.7,0.3,1.8,2.7,10.9,.509,.510,.167,.709,.563,.510,F,CHHDENMIAMILNJNNYK,masonan01
138,Jamal Mashburn,43.7,103,106,13.4,15.7,8.2,25.8,12.1,19.3,1993-94,2003-04,21-31,611,584,1,37.3,7.0,16.7,5.7,13.1,1.3,3.6,3.8,5.0,1.1,4.2,5.4,4.0,1.0,0.2,2.6,2.5,19.1,.418,.439,.345,.766,.504,.456,F,CHHDALMIANOH,mashbja01
139,Kenyon Martin,48.0,101,101,12.1,15.0,12.8,20.2,12.7,10.6,2000-01,2014-15,23-37,757,667,1,30.6,5.1,10.6,5.0,10.2,0.1,0.4,2.0,3.2,1.7,5.1,6.8,1.9,1.2,1.1,1.7,3.3,12.3,.483,.492,.234,.629,.513,.487,F,DENLACMILNJNNYK,martike01
140,Lauri Markkanen,24.8,114,112,7.3,16.9,12.6,22.6,8.6,7.0,2017-18,2022-23,20-25,347,321,1,30.6,6.0,13.2,3.6,6.8,2.4,6.4,2.9,3.3,1.3,5.9,7.1,1.4,0.7,0.5,1.4,1.9,17.3,.455,.534,.371,.858,.588,.545,F-C,CHICLEUTA,markkla01
141,Shawn Marion,124.9,110,102,47.6,18.8,14.3,20.4,9.7,9.1,1999-00,2014-15,21-36,1163,1062,4,34.5,6.3,12.9,5.6,10.9,0.7,2.1,2.0,2.5,2.3,6.3,8.7,1.9,1.5,1.1,1.5,2.2,15.2,.484,.513,.331,.810,.542,.510,F,CLEDALMIAPHOTOR,mariosh01
142,Stephon Marbury,77.5,108,110,30.7,18.7,4.5,25.4,14.2,36.1,1996-97,2008-09,19-31,846,816,2,37.7,6.8,15.7,5.6,12.1,1.2,3.6,4.5,5.7,0.7,2.3,3.0,7.6,1.2,0.1,3.0,2.4,19.3,.433,.465,.325,.784,.528,.470,G,BOSMINNJNNYKPHO,marbust01
143,Pete Maravich,46.7,96,102,8.9,18.4,5.5,29.2,14.5,23.1,1970-71,1979-80,23-32,658,4,5,37.0,9.4,21.3,9.4,21.3,0.0,0.0,5.4,6.6,0.6,2.2,4.2,5.4,0.9,0.2,0.8,2.8,24.2,.441,.441,.667,.820,.500,.441,G,ATLBOSNOJUTA,maravpe01
144,Danny Manning,55.1,106,106,18.4,16.9,10.8,23.1,14.2,13.8,1988-89,2002-03,22-36,883,398,2,27.4,5.7,11.1,5.6,10.9,0.0,0.2,2.6,3.5,1.7,3.5,5.2,2.3,1.1,0.9,2.1,3.3,14.0,.511,.517,.206,.729,.552,.513,F-C,ATLDALDETLACMILPHOUTA,mannida01
145,Moses Malone,167.1,114,105,42.4,22.3,19.8,25.6,14.1,6.0,1976-77,1994-95,21-39,1329,784,12,33.9,7.1,14.5,7.1,14.4,0.0,0.1,6.4,8.3,5.1,7.1,12.2,1.4,0.8,1.3,2.9,2.3,20.6,.491,.492,.100,.769,.569,.491,C-F,ATLBUFHOUMILPHISASWSB,malonmo01
146,Karl Malone,234.6,113,101,99.0,23.9,16.0,29.4,12.4,17.6,1985-86,2003-04,22-40,1476,1471,14,37.2,9.2,17.8,9.1,17.5,0.1,0.2,6.6,8.9,2.4,7.7,10.1,3.6,1.4,0.8,3.1,3.1,25.0,.516,.519,.274,.742,.577,.518,F,LALUTA,malonka01
147,Jeff Malone,54.2,108,111,4.0,15.2,4.4,25.1,8.7,12.0,1983-84,1995-96,22-34,905,755,2,32.8,7.8,16.2,7.7,15.9,0.1,0.4,3.3,3.7,0.6,2.0,2.6,2.4,0.6,0.1,1.7,1.9,19.0,.484,.489,.268,.871,.533,.487,G,MIAPHIUTAWSB,malonje01
148,Dan Majerle,78.5,114,106,29.7,13.8,8.1,16.2,9.9,13.3,1988-89,2001-02,23-36,955,454,3,31.6,4.1,9.6,2.7,5.6,1.4,4.0,1.7,2.4,1.2,3.3,4.5,2.9,1.3,0.4,1.2,2.0,11.4,.431,.482,.358,.741,.538,.505,G-F,CLEMIAPHO,majerda01
149,Maurice Lucas,58.7,104,102,10.6,16.3,16.8,22.1,15.0,11.4,1976-77,1987-88,24-35,855,244,4,29.0,5.7,12.0,5.7,12.0,0.0,0.0,3.0,4.0,2.5,6.3,8.8,2.3,0.7,0.6,2.1,3.4,14.4,.473,.474,.111,.763,.523,.473,F-C,LALNJNNYKPHOPORSEA,lucasma01
150,Kyle Lowry,107.7,115,108,42.6,17.8,7.8,21.3,15.4,30.4,2006-07,2022-23,20-36,1074,831,6,31.9,4.7,11.1,2.8,5.8,1.9,5.3,3.3,4.1,0.8,3.6,4.4,6.3,1.3,0.3,2.3,2.7,14.6,.424,.475,.367,.815,.569,.511,G,HOUMEMMIATOR,lowryky01
151,Kevin Love,91.0,115,107,34.8,20.9,19.3,24.4,11.1,12.7,2008-09,2022-23,20-34,870,679,5,30.2,5.6,12.7,3.8,7.9,1.8,4.8,4.0,4.8,2.5,7.9,10.4,2.3,0.6,0.4,1.9,2.0,17.0,.439,.481,.370,.830,.571,.509,F,CLEMIAMIN,loveke01
152,Brook Lopez,79.2,112,108,24.1,19.1,11.5,23.4,10.5,8.2,2008-09,2022-23,20-34,942,902,1,30.2,6.3,12.6,5.4,10.2,0.8,2.4,3.0,3.8,2.0,4.2,6.3,1.4,0.6,1.8,1.7,2.7,16.4,.496,.532,.346,.795,.573,.529,C,BRKLALMILNJN,lopezbr01
153,Damian Lillard,103.4,118,113,48.6,22.6,6.4,29.2,11.7,31.0,2012-13,2022-23,22-32,769,769,7,36.3,8.2,18.6,5.1,10.3,3.1,8.3,5.8,6.4,0.6,3.6,4.2,6.7,1.0,0.3,2.8,1.9,25.2,.439,.494,.372,.895,.588,.523,G,POR,lillada01
154,Reggie Lewis,38.9,112,108,12.4,17.1,7.4,23.3,8.8,11.6,1987-88,1992-93,22-27,450,352,1,32.6,7.1,14.6,7.0,14.3,0.1,0.3,3.3,4.0,1.3,3.0,4.3,2.6,1.3,0.9,1.6,2.8,17.6,.488,.494,.200,.824,.538,.490,G-F,BOS,lewisre01
155,Rashard Lewis,90.9,112,107,33.1,16.8,9.5,21.1,10.2,8.9,1998-99,2013-14,19-34,1049,842,2,32.0,5.4,11.9,3.7,7.5,1.7,4.4,2.4,3.0,1.4,3.8,5.2,1.7,1.1,0.5,1.5,2.3,14.9,.452,.491,.386,.805,.563,.524,F,MIAORLSEAWAS,lewisra02
156,Fat Lever,61.2,109,105,32.1,17.8,10.1,19.7,12.3,26.4,1982-83,1993-94,22-33,752,599,2,31.7,5.6,12.6,5.4,11.9,0.2,0.7,2.4,3.1,1.9,4.1,6.0,6.2,2.2,0.3,2.0,2.4,13.9,.447,.455,.310,.771,.496,.455,G,DALDENPOR,leverfa01
157,Kawhi Leonard,89.8,119,102,43.6,23.4,11.4,25.2,9.1,15.8,2011-12,2022-23,20-31,623,594,5,31.5,7.0,14.2,5.5,10.3,1.5,4.0,4.0,4.6,1.2,5.2,6.4,3.0,1.7,0.6,1.6,1.7,19.6,.495,.537,.387,.859,.602,.549,F,LACSASTOR,leonaka01
158,David Lee,76.0,114,106,19.2,19.1,17.0,20.6,13.0,12.6,2005-06,2016-17,22-33,829,505,2,29.3,5.5,10.3,5.5,10.3,0.0,0.0,2.5,3.2,2.6,6.2,8.8,2.2,0.8,0.4,1.8,2.6,13.5,.535,.537,.034,.772,.577,.536,F,BOSDALGSWNYKSAS,leeda02
159,Zach LaVine,30.2,109,114,12.0,17.4,6.9,27.4,13.1,20.2,2014-15,2022-23,19-27,550,463,2,32.4,7.3,15.7,5.1,9.9,2.2,5.8,3.7,4.4,0.5,3.5,4.0,3.9,0.9,0.3,2.7,2.2,20.5,.465,.511,.385,.833,.580,.536,G-F,CHIMIN,lavinza01
160,Bob Lanier,117.1,111,98,39.4,21.7,15.6,22.6,14.9,14.4,1970-71,1983-84,22-35,959,179,8,33.5,8.1,15.7,8.1,15.7,0.0,0.0,3.9,5.1,1.9,5.1,10.1,3.1,0.8,1.1,1.2,3.2,20.1,.514,.515,.154,.767,.559,.514,C,DETMIL,laniebo01
