Rk,Player,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
34,Mitch Richmond,1988-89,2001-02,23-36,976,902,6,35.2,7.5,16.4,6.1,12.9,1.4,3.5,4.7,5.5,0.9,3.0,3.9,3.5,1.2,0.3,2.6,2.6,21.0,.455,.474,.388,.850,.557,.497,G,GSWLALSACWAS,richmmi01
35,Willis Reed,1964-65,1973-74,22-31,650,,7,35.5,7.5,15.7,7.5,15.7,,,3.8,5.1,0.1,0.1,12.9,1.8,0.0,0.0,,3.7,18.7,.476,.476,,.747,.523,.476,C-F,NYK,reedwi01
36,Jim Pollard,1948-49,1954-55,26-32,438,,4,21.4,5.2,14.6,5.2,14.6,,,2.7,3.5,,,5.7,3.2,,,,2.6,13.2,.360,.360,,.750,.408,.360,F-C,MNL,pollaji01
37,Scottie Pippen,1987-88,2003-04,22-38,1178,1053,7,34.9,6.3,13.3,5.5,10.8,0.8,2.5,2.7,3.8,1.8,4.6,6.4,5.2,2.0,0.8,2.8,2.8,16.1,.473,.507,.326,.704,.536,.504,F-G,CHIHOUPOR,pippesc01
38,Paul Pierce,1998-99,2016-17,21-39,1343,1285,10,34.2,6.5,14.5,4.9,10.2,1.6,4.3,5.2,6.4,0.8,4.8,5.6,3.5,1.3,0.6,2.6,2.7,19.7,.445,.478,.368,.806,.568,.500,F-G,BOSBRKLACWAS,piercpa01
39,Andy Phillip,1947-48,1957-58,25-35,701,,5,21.9,3.3,9.0,3.3,9.0,,,2.5,3.6,,,3.4,5.4,,,,2.7,9.1,.368,.368,,.695,.430,.368,G-F,BOSCHSFTWPHW,phillan01
40,Bob Pettit,1954-55,1964-65,22-32,792,,11,38.8,9.3,21.3,9.3,21.3,,,7.8,10.3,,,16.2,3.0,,,,3.2,26.4,.436,.436,,.761,.511,.436,F-C,MLHSTL,pettibo01
41,Gary Payton,1990-91,2006-07,22-38,1335,1233,9,35.3,6.5,14.0,5.7,11.3,0.8,2.7,2.4,3.4,1.0,2.9,3.9,6.7,1.8,0.2,2.3,2.4,16.3,.466,.501,.317,.729,.528,.496,G,BOSLALMIAMILSEA,paytoga01
42,Robert Parish,1976-77,1996-97,23-43,1611,1134,9,28.4,6.0,11.1,6.0,11.1,0.0,0.0,2.5,3.5,2.9,6.3,9.1,1.4,0.8,1.5,2.0,2.8,14.5,.537,.537,.000,.721,.571,.537,C,BOSCHHCHIGSW,parisro01
43,Hakeem Olajuwon,1984-85,2001-02,22-39,1238,1186,12,35.7,8.7,17.0,8.7,16.9,0.0,0.1,4.4,6.2,3.3,7.8,11.1,2.5,1.7,3.1,3.0,3.5,21.8,.512,.514,.202,.712,.553,.513,C,HOUTOR,olajuha01
44,Shaquille O'Neal,1992-93,2010-11,20-38,1207,1197,15,34.7,9.4,16.1,9.4,16.1,0.0,0.0,4.9,9.3,3.5,7.4,10.9,2.5,0.6,2.3,2.7,3.4,23.7,.582,.583,.045,.527,.586,.582,C,BOSCLELALMIAORLPHO,onealsh01
45,Steve Nash,1996-97,2013-14,22-39,1217,1053,8,31.3,5.2,10.6,3.8,7.4,1.4,3.2,2.5,2.8,0.5,2.5,3.0,8.5,0.7,0.1,2.9,1.6,14.3,.490,.518,.428,.904,.605,.556,G,DALLALPHO,nashst01
46,Dikembe Mutombo,1991-92,2008-09,25-42,1196,997,8,30.8,3.5,6.7,3.5,6.7,0.0,0.0,2.8,4.1,3.2,7.1,10.3,1.0,0.4,2.8,1.8,2.8,9.8,.518,.518,.000,.684,.573,.518,C,ATLDENHOUNJNNYKPHI,mutomdi01
47,Calvin Murphy,1970-71,1982-83,22-34,1002,0,1,30.5,7.2,15.0,7.2,14.9,0.0,0.1,3.4,3.9,0.5,1.0,2.1,4.4,1.2,0.1,0.8,3.2,17.9,.482,.484,.139,.892,.536,.483,G,HOUSDR,murphca01
48,Chris Mullin,1985-86,2000-01,22-37,986,822,5,32.6,6.8,13.4,6.0,11.3,0.8,2.2,3.7,4.2,1.0,3.1,4.1,3.5,1.6,0.6,2.3,2.1,18.2,.509,.533,.384,.865,.594,.540,F-G,GSWIND,mullich01
49,Alonzo Mourning,1992-93,2007-08,22-37,838,686,7,31.0,6.1,11.6,6.1,11.5,0.0,0.1,4.8,7.0,2.6,5.9,8.5,1.1,0.5,2.8,2.6,3.4,17.1,.527,.530,.247,.692,.583,.529,C-F,CHHMIANJN,mournal01
50,Earl Monroe,1967-68,1979-80,23-35,926,,4,32.0,7.5,16.1,7.5,16.1,0.0,0.0,3.9,4.9,0.3,1.1,3.0,3.9,0.5,0.1,0.3,2.6,18.8,.464,.464,,.807,.517,.464,G,BALNYK,monroea01
51,Sidney Moncrief,1979-80,1990-91,22-33,767,513,5,30.2,5.4,10.7,5.2,10.2,0.1,0.5,4.7,5.6,1.9,2.8,4.7,3.6,1.2,0.3,2.0,2.1,15.6,.502,.513,.284,.831,.591,.509,G,ATLMIL,moncrsi01
52,Yao Ming,2002-03,2010-11,22-30,486,476,8,32.5,7.0,13.3,7.0,13.2,0.0,0.0,5.1,6.1,2.5,6.7,9.2,1.6,0.4,1.9,2.7,3.3,19.0,.524,.525,.200,.833,.596,.525,C,HOU,mingya01
53,Reggie Miller,1987-88,2004-05,22-39,1389,1304,5,34.3,5.9,12.6,4.1,7.9,1.8,4.7,4.5,5.1,0.6,2.4,3.0,3.0,1.1,0.2,1.7,2.0,18.2,.471,.516,.395,.888,.614,.544,G-F,IND,millere01
54,Vern Mikkelsen,1949-50,1958-59,21-30,699,,6,26.4,5.1,12.6,5.1,12.6,,,4.2,5.5,,,8.5,2.2,,,,4.0,14.4,.403,.403,,.766,.478,.403,F-C,MNL,mikkeve01
55,George Mikan,1948-49,1955-56,24-31,439,,4,19.0,8.1,20.0,8.1,20.0,,,7.0,8.9,,,9.5,2.8,,,,4.2,23.1,.404,.404,,.782,.483,.404,C,MNL,mikange01
