Rk,Player,ORtg,DRtg,PER,TRB%,AST%,STL%,BLK%,TOV%,USG%,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
395,Kris Dunn,125,114,19.1,9.5,32.3,2.1,1.5,12.8,20.2,2022-23,2022-23,28,22,3,25.8,5.3,9.8,4.5,8.2,0.8,1.6,1.9,2.4,0.4,4.1,4.5,5.6,1.1,0.5,1.6,2.6,13.2,.537,.550,.472,.774,.606,.576,G,UTA,dunnkr01
396,David Duke Jr.,96,116,8.3,7.1,13.1,2.1,0.4,17.4,20.1,2022-23,2022-23,23,23,0,9.9,1.6,3.4,1.5,2.9,0.0,0.5,0.5,0.7,0.5,0.8,1.3,0.9,0.4,0.0,0.8,1.3,3.7,.462,.530,.083,.706,.497,.468,G,BRK,dukeda01
397,Chris Duarte,101,120,8.6,7.1,9.7,1.3,0.9,10.1,19.0,2022-23,2022-23,25,46,12,19.5,2.7,7.2,1.5,3.5,1.2,3.8,1.3,1.6,0.4,2.1,2.5,1.4,0.5,0.2,0.9,1.4,7.9,.369,.428,.316,.847,.496,.452,G,IND,duartch01
398,Andre Drummond,113,103,20.8,29.6,5.7,2.6,3.1,18.6,21.0,2022-23,2022-23,29,67,0,12.7,2.5,4.1,2.5,4.0,0.0,0.0,1.0,1.9,2.1,4.6,6.6,0.5,0.7,0.4,1.1,1.7,6.0,.606,.613,.000,.536,.606,.606,C,CHI,drumman01
399,Goran Dragić,103,117,10.3,5.2,24.3,0.7,0.4,15.1,21.1,2022-23,2022-23,36,58,0,15.0,2.4,5.8,1.5,3.3,0.9,2.5,0.5,0.8,0.3,1.1,1.4,2.6,0.2,0.1,1.1,1.1,6.3,.421,.468,.359,.689,.514,.499,G,CHIMIL,dragigo01
400,PJ Dozier,76,111,5.2,10.1,16.3,3.6,1.1,13.2,20.6,2022-23,2022-23,26,16,0,4.9,0.6,2.1,0.5,1.1,0.1,1.0,0.0,0.0,0.1,0.8,0.9,0.6,0.4,0.1,0.3,0.4,1.4,.303,.471,.125,,.333,.333,G,SAC,doziepj01
401,Jeff Dowtin,118,117,9.9,5.0,15.5,1.7,1.1,7.6,10.9,2022-23,2022-23,25,25,0,10.4,1.0,2.3,0.8,1.6,0.2,0.6,0.2,0.4,0.2,0.7,0.9,1.2,0.4,0.1,0.2,0.5,2.4,.439,.488,.313,.667,.500,.482,G,TOR,dowtije01
402,Devon Dotson,81,112,4.8,10.5,17.6,4.6,0.0,23.1,10.7,2022-23,2022-23,23,6,0,8.8,0.2,1.7,0.0,1.0,0.2,0.7,0.0,0.0,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5,.100,.000,.250,,.150,.150,G,WAS,dotsode01
403,Ayo Dosunmu,109,115,10.2,5.9,13.2,1.4,1.2,14.0,14.9,2022-23,2022-23,23,80,51,26.2,3.5,7.1,2.8,4.8,0.7,2.4,0.8,1.0,0.6,2.2,2.8,2.6,0.8,0.3,1.2,2.3,8.6,.493,.583,.312,.805,.567,.545,G,CHI,dosunay01
404,Luguentz Dort,109,116,11.3,8.1,9.2,1.6,0.9,8.5,19.8,2022-23,2022-23,23,74,73,30.7,4.6,11.8,2.8,6.3,1.8,5.5,2.7,3.5,1.7,2.9,4.6,2.1,1.0,0.3,1.2,3.3,13.7,.388,.440,.330,.772,.513,.466,G,OKC,dortlu01
405,Tyler Dorsey,170,121,45.5,14.5,0.0,0.0,0.0,0.0,28.3,2022-23,2022-23,26,3,0,2.7,1.3,1.7,1.0,1.0,0.3,0.7,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0,.800,1.000,.500,,.900,.900,G,DAL,dorsety01
406,Luka Dončić,120,113,28.7,13.8,42.3,1.9,1.2,11.9,37.6,2022-23,2022-23,23,66,66,36.2,10.9,22.0,8.1,13.8,2.8,8.2,7.8,10.5,0.8,7.8,8.6,8.0,1.4,0.5,3.6,2.5,32.4,.496,.588,.342,.742,.609,.560,G-F,DAL,doncilu01
407,Donte DiVincenzo,117,113,12.8,9.4,17.3,2.4,0.5,16.4,15.1,2022-23,2022-23,26,72,36,26.3,3.3,7.5,1.2,2.3,2.1,5.3,0.8,1.0,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8,9.4,.435,.525,.397,.817,.593,.574,G,GSW,divindo01
408,Spencer Dinwiddie,118,118,16.0,5.7,28.1,1.2,0.8,10.8,22.1,2022-23,2022-23,29,79,79,34.5,5.8,13.3,3.5,7.1,2.3,6.2,3.4,4.2,0.4,3.1,3.4,6.5,0.8,0.3,1.8,2.4,17.3,.438,.498,.369,.812,.573,.524,G,BRKDAL,dinwisp01
409,Ousmane Dieng,103,115,9.3,9.9,10.7,1.2,1.1,12.0,15.9,2022-23,2022-23,19,39,1,14.6,1.9,4.6,1.3,2.1,0.7,2.5,0.4,0.6,0.5,2.2,2.7,1.2,0.4,0.2,0.7,1.1,4.9,.420,.602,.265,.652,.505,.492,F,OKC,diengou01
410,Gorgui Dieng,100,118,9.9,16.3,19.4,0.5,3.2,20.7,17.9,2022-23,2022-23,33,31,1,11.5,1.5,3.8,0.8,1.4,0.7,2.4,0.3,0.4,0.9,2.6,3.5,1.7,0.1,0.5,1.0,1.8,3.9,.385,.571,.280,.769,.493,.474,C,SAS,dienggo01
411,Hamidou Diallo,109,116,15.7,10.8,9.2,2.6,1.4,13.9,21.8,2022-23,2022-23,24,56,0,17.8,3.8,6.7,3.8,6.3,0.1,0.4,1.6,2.6,1.0,2.4,3.5,1.0,0.9,0.3,1.3,2.2,9.3,.573,.593,.238,.588,.593,.580,G,DET,diallha01
412,Mamadi Diakite,99,109,9.0,10.0,6.3,1.1,4.7,19.1,16.0,2022-23,2022-23,26,22,2,8.0,1.1,2.3,0.8,1.3,0.3,1.0,0.1,0.1,0.4,1.0,1.4,0.4,0.2,0.4,0.5,1.2,2.6,.480,.586,.333,1.000,.560,.550,F,CLE,diakima01
413,Moussa Diabaté,117,114,14.2,14.4,2.8,1.8,3.6,14.3,14.1,2022-23,2022-23,21,22,1,8.9,1.1,2.1,1.0,2.0,0.0,0.1,0.5,0.7,1.4,0.9,2.3,0.2,0.3,0.4,0.4,0.7,2.7,.511,.511,.500,.625,.546,.521,F,LAC,diabamo01
414,DeMar DeRozan,119,113,20.6,7.2,22.3,1.5,1.3,9.1,27.8,2022-23,2022-23,33,74,74,36.2,8.9,17.6,8.3,15.7,0.6,1.9,6.2,7.1,0.5,4.2,4.6,5.1,1.1,0.5,2.1,2.5,24.5,.504,.526,.324,.872,.592,.522,G-F,CHI,derozde01
415,Matthew Dellavedova,105,119,6.7,3.5,23.4,1.6,0.0,15.9,12.7,2022-23,2022-23,32,32,0,6.7,0.5,1.6,0.3,0.7,0.3,0.8,0.1,0.2,0.0,0.4,0.4,1.3,0.2,0.0,0.3,0.6,1.5,.340,.348,.333,.571,.443,.430,G,SAC,dellama01
416,Dewayne Dedmon,112,110,15.5,18.5,9.5,1.1,4.4,12.7,20.6,2022-23,2022-23,33,38,1,11.2,2.0,4.0,1.7,2.9,0.3,1.0,0.9,1.3,0.9,2.6,3.5,0.7,0.2,0.5,0.7,2.0,5.2,.510,.580,.308,.673,.577,.550,C,MIAPHI,dedmode01
417,Darius Days,132,120,18.3,13.2,6.2,0.0,3.9,0.0,21.4,2022-23,2022-23,23,4,0,6.3,1.3,3.0,0.5,0.5,0.8,2.5,0.5,0.5,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,3.8,.417,1.000,.300,1.000,.582,.542,F,HOU,daysda01
418,JD Davison,104,112,10.1,7.4,22.4,1.5,2.6,16.8,15.8,2022-23,2022-23,20,12,0,5.5,0.7,1.6,0.5,1.0,0.2,0.6,0.1,0.2,0.2,0.6,0.8,0.9,0.2,0.2,0.3,0.4,1.6,.421,.500,.286,.500,.478,.474,G,BOS,davisjd01
