,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
139,Devin Vassell,1.9,14.4,11.2,1.9,1.5,7.2,19.3,20-22,171,71,6.1,14.3,3.6,7.5,2.5,6.9,1.8,2.2,0.7,4.8,5.4,2.8,1.4,0.7,1.2,2.5,16.5,0.427,0.483,0.367,0.816,0.541,0.515,G-F
140,Greivis Vásquez,1.5,11.6,33.9,1.2,0.3,16.5,21.3,26-30,265,130,5.5,13.2,3.7,8.2,1.8,5.0,1.5,1.8,0.5,3.5,4.0,7.4,0.8,0.1,2.8,2.9,14.3,0.416,0.451,0.359,0.821,0.51,0.484,G
142,Anderson Varejão,12.3,26.5,12.2,1.9,1.7,12.6,16.2,30-38,188,81,4.9,10.0,4.9,9.9,0.0,0.1,2.2,3.2,4.0,8.3,12.3,2.8,1.3,0.8,1.7,3.4,12.0,0.488,0.495,0.0,0.702,0.526,0.488,F-C
143,Fred VanVleet,1.5,11.0,26.1,2.2,1.3,11.1,21.9,22-28,417,268,6.0,14.8,3.1,7.0,2.9,7.8,2.9,3.3,0.5,3.5,4.0,6.4,1.6,0.5,2.0,2.6,17.7,0.402,0.434,0.373,0.869,0.543,0.5,G
144,Jarred Vanderbilt,10.9,23.7,9.7,2.4,2.1,16.1,12.4,19-23,244,162,4.4,7.7,4.2,6.9,0.2,0.8,1.8,2.8,3.7,7.8,11.5,2.6,1.8,0.8,1.7,3.6,10.9,0.573,0.606,0.288,0.643,0.607,0.588,F
145,Denzel Valentine,2.2,17.4,14.4,1.6,0.6,11.4,18.0,23-28,256,45,5.1,12.9,2.4,5.4,2.7,7.5,0.6,0.7,0.8,5.6,6.4,3.5,1.2,0.2,1.7,3.1,13.4,0.394,0.441,0.36,0.787,0.507,0.498,G
146,Jonas Valančiūnas,12.1,28.9,7.8,0.8,3.2,13.3,21.3,20-30,774,745,7.4,13.2,7.1,12.3,0.3,1.0,3.5,4.4,3.9,9.3,13.2,1.7,0.6,1.3,2.3,4.0,18.7,0.561,0.577,0.357,0.789,0.615,0.574,C
149,Tyler Ulis,1.7,7.1,29.0,2.0,0.3,16.1,19.2,21-23,133,58,5.2,12.8,4.3,9.9,0.8,2.9,1.8,2.2,0.6,2.3,2.9,6.9,1.5,0.2,2.6,2.5,12.9,0.403,0.439,0.28,0.808,0.469,0.435,G
150,Beno Udrih,1.8,9.2,28.5,1.5,0.3,16.5,18.8,30-34,269,38,5.3,11.5,4.5,9.2,0.8,2.3,1.8,2.1,0.6,2.9,3.5,6.6,1.0,0.1,2.5,2.3,13.1,0.458,0.491,0.331,0.851,0.528,0.492,G
151,Ekpe Udoh,8.9,13.0,6.9,1.7,5.7,14.0,11.3,25-31,265,27,3.1,6.7,3.1,6.7,0.0,0.0,2.0,2.8,2.9,4.2,7.1,1.7,1.2,2.6,1.3,4.2,8.3,0.47,0.471,0.0,0.716,0.523,0.47,C-F
